"Vistas","Mostrar vista","Alt+Mayús+Q,Q","En ventanas","org.eclipse.ui.views.showView"
"Edición de texto","Subir líneas","Ctrl+Mayús+↑","Contexto de Editor SQL","org.eclipse.ui.edit.text.moveLineUp"
"Ventana","Editor siguiente","Ctrl+F6","En ventanas","org.eclipse.ui.window.nextEditor"
"Ventana","Vista siguiente","Ctrl+F7","En ventanas","org.eclipse.ui.window.nextView"
"Conexiones","Herramientas de contexto","Alt+`","En ventanas","org.jkiss.dbeaver.ui.tools.menu"
"Editor SQL","Definir conexión a partir del navegador","Ctrl+Mayús+.","Contexto del navegador de base de datos","org.jkiss.dbeaver.ui.editors.sql.sync.connection"
"Editar","Copiar","Ctrl+Insertar","En diálogos y ventanas","org.eclipse.ui.edit.copy"
"Edición de texto","Conmutar sobrescritura","Insertar","Edición de texto","org.eclipse.ui.edit.text.toggleOverwrite"
"Editar","Pegar","Ctrl+V","En diálogos y ventanas","org.eclipse.ui.edit.paste"
"Navegar","Contraer todo","Ctrl+Mayús+Núm_/","En ventanas","org.eclipse.ui.navigate.collapseAll"
"Resultados","Definir por defecto","Ctrl+⟵","Contexto del visor de resultados","org.jkiss.dbeaver.core.resultset.cell.setDefault"
"View","Zoom Out","Ctrl+-","En ventanas","org.eclipse.gef3.zoom_out"
"Navegar","Punto de edición anterior","Ctrl+Q","En ventanas","org.eclipse.ui.edit.text.gotoLastEditPosition"
"Ventana","Conmutar editor separado (Vertical)","Ctrl+{","En ventanas","org.eclipse.ui.window.splitEditor"
"Resultados","Añadir registro","Alt+Insertar","Contexto del visor de resultados","org.jkiss.dbeaver.core.resultset.row.add"
"Edición de texto","Acercar","Ctrl++","Edición de texto","org.eclipse.ui.edit.text.zoomIn"
"Edición de texto","Inicio de línea","Inicio","Edición de texto","org.eclipse.ui.edit.text.goto.lineStart"
"archivo","Menú Nuevo","Alt+Mayús+N","En ventanas","org.eclipse.ui.file.newQuickMenu"
"Editar","Conclusión de palabra","Alt+/","Edición de texto","org.eclipse.ui.edit.text.hippieCompletion"
"Editor SQL","Renombrar Script SQL","Ctrl+F2","Contexto de Editor de Script SQL","org.jkiss.dbeaver.ui.editors.sql.rename"
"Editar","Conmutar modalidad de inserción","Ctrl+Mayús+Insertar","Edición de texto","org.eclipse.ui.edit.text.toggleInsertMode"
"Editor SQL","Ejecutar Script SQL","Alt+X","Contexto de Editor de Script SQL","org.jkiss.dbeaver.ui.editors.sql.run.script"
"Conexiones","Modificar Objeto","F4","Contexto del navegador de base de datos","org.jkiss.dbeaver.core.object.open"
"Resultados","Cambiar presentación","Ctrl+`","Contexto del visor de resultados","org.jkiss.dbeaver.core.resultset.switchPresentation"
"Ventana","Buscar acciones","Ctrl+3","En ventanas","org.eclipse.ui.window.quickAccess"
"Navegador de Bases de Datos","Editar tarea","Intro","En ventanas","org.jkiss.dbeaver.task.edit"
"Resultados","Registro anterior","Ctrl+Alt+←","Contexto del visor de resultados","org.jkiss.dbeaver.core.resultset.row.previous"
"proyecto","Construir todo","Ctrl+B","En ventanas","org.eclipse.ui.project.buildAll"
"Resultados","Obtener todos los datos","Ctrl+Mayús+=","Contexto del visor de resultados","org.jkiss.dbeaver.core.resultset.fetch.all"
"Edición de texto","Expandir todo","Ctrl+Núm_*","Edición de texto","org.eclipse.ui.edit.text.folding.expand_all"
"Edición de texto","Seleccionar palabra siguiente","Ctrl+Mayús+→","Edición de texto","org.eclipse.ui.edit.text.select.wordNext"
"Edición de texto","Seleccionar palabra anterior","Ctrl+Mayús+←","Edición de texto","org.eclipse.ui.edit.text.select.wordPrevious"
"Resultados","Reestablecer cambios de celda","Esc","Contexto del visor de resultados","org.jkiss.dbeaver.core.resultset.cell.reset"
"Conexiones","Nuevo script SQL","Ctrl+]","DBeaver Perspective","org.jkiss.dbeaver.core.sql.editor.create"
"Ventana","Perspectiva anterior","Ctrl+Mayús+F8","En ventanas","org.eclipse.ui.window.previousPerspective"
"Resultados","Alternar paneles de resultados","Ctrl+7","Contexto del visor de resultados","org.jkiss.dbeaver.core.resultset.grid.togglePreview"
"Editar","Buscar anterior","Ctrl+Mayús+K","En ventanas","org.eclipse.ui.edit.findPrevious"
"Edición de texto","Conmutar repliegue","Ctrl+Núm_/","Edición de texto","org.eclipse.ui.edit.text.folding.toggle"
"Editar","Pegar","Mayús+Insertar","En diálogos y ventanas","org.eclipse.ui.edit.paste"
"Navegar","Sub-pestaña anterior","Alt+RePág","En diálogos y ventanas","org.eclipse.ui.navigate.previousSubTab"
"Conexiones","Open Dashboard","Ctrl+Alt+Mayús+B","DBeaver Perspective","org.jkiss.dbeaver.ui.dashboard.open"
"Editar","Asistencia de contenido","Ctrl+Espacio","En diálogos y ventanas","org.eclipse.ui.edit.text.contentAssist.proposals"
"Navegar","Pestaña anterior","Ctrl+RePág","En diálogos y ventanas","org.eclipse.ui.navigate.previousTab"
"Editor SQL","Ejecutar Comando SQL","Ctrl+Intro","Contexto de Editor de Script SQL","org.jkiss.dbeaver.ui.editors.sql.run.statement"
"Edición de texto","Insertar línea debajo de línea actual","Mayús+Intro","Edición de texto","org.eclipse.ui.edit.text.smartEnter"
"Conexiones","Script SQL reciente","Ctrl+Intro","Contexto del navegador de base de datos","org.jkiss.dbeaver.core.sql.editor.recent"
"Resultados","Eliminar registro actual","Alt+Borrar","Contexto del visor de resultados","org.jkiss.dbeaver.core.resultset.row.delete"
"archivo","Cerrar todos","Ctrl+Mayús+F4","En ventanas","org.eclipse.ui.file.closeAll"
"archivo","Nuevo","Ctrl+N","En ventanas","org.eclipse.ui.newWizard"
"Conexiones","Script SQL","F3","DBeaver Perspective","org.jkiss.dbeaver.core.sql.editor.open"
"Conexiones","Seleccionar esquema activo","Ctrl+0","En ventanas","org.jkiss.dbeaver.ui.tools.select.schema"
"View","Toggle hand tool","Tabulador","En ventanas","org.jkiss.dbeaver.erd.toggleHand"
"Edición de texto","En mayúsculas","Ctrl+Mayús+X","Edición de texto","org.eclipse.ui.edit.text.upperCase"
"Ventana","Asistencia de teclas","Ctrl+Mayús+L","En diálogos y ventanas","org.eclipse.ui.window.showKeyAssist"
"Editar","Información contextual","Ctrl+Alt+Espacio","Contexto de Editor SQL","org.eclipse.ui.edit.text.contentAssist.contextInformation"
"Vistas","Mostrar vista (Problemas)","Alt+Mayús+Q,X","En ventanas","org.eclipse.ui.views.showView"
"Editor SQL","Alternar el panel de resultados","Ctrl+6","Contexto de Editor de Script SQL","org.jkiss.dbeaver.ui.editors.sql.toggle.result.panel"
"Editor SQL","Ir a paréntesis emparejado","Ctrl+Mayús+P","Contexto de Editor SQL","org.jkiss.dbeaver.ui.editors.sql.gotoMatchingBracket"
"archivo","Guardar todo","Ctrl+Mayús+S","En ventanas","org.eclipse.ui.file.saveAll"
"Navegar","Página siguiente","Alt+F7","En ventanas","org.eclipse.ui.part.nextPage"
"Navegador de Bases de Datos","Enlazar al editor","Ctrl+Mayús+,","En ventanas","org.jkiss.dbeaver.core.navigator.linkeditor"
"Edición de texto","Desplazar línea hacia arriba","Ctrl+↑","Edición de texto","org.eclipse.ui.edit.text.scroll.lineUp"
